,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Jarkko Nieminen,James Duckworth,-0.10604805302402652,-0.09500138083402376,0.191935929301298,0.056061861364264,0.009113504556752278,0.6,player1,0,0,1,1,0,0,1,0
1,Marinko Matosevic,Julien Benneteau,-0.02144383394383395,0.018238705738705736,-0.0424297924297925,-0.05196886446886445,0.0782967032967033,-0.08080808080808077,player1,0,0,1,1,0,0,1,0
2,Sam Querrey,Dmitry Tursunov,0.24685276409414342,0.017241379310344827,0.054734537493158264,0.20799124247400114,-0.06978653530377667,0.0,player1,0,0,1,1,0,0,1,0
3,Ryan Harrison,Sam Groth,-0.27043189368770765,0.017940199335548173,-0.04252491694352156,-0.15714285714285714,0.031561461794019946,0.0,player2,0,0,1,1,0,0,1,0
4,Igor Sijsling,Nicolas Mahut,0.016666666666666663,-0.01435897435897436,0.05102564102564111,0.0912820512820513,-0.02615384615384614,-0.16666666666666663,player2,0,0,1,1,0,0,1,0
5,Jeremy Chardy,Adrian Mannarino,0.08612440191387559,-0.007775119617224879,0.04425837320574166,0.09509569377990429,0.004186602870813405,0.015873015873015817,player1,0,0,1,1,0,0,1,0
6,Mikhail Kukushkin,Feliciano Lopez,-0.16739811912225705,-0.020062695924764888,-0.06269592476489022,-0.22946708463949841,0.0730407523510972,0.0,player2,0,0,1,1,0,0,1,0
7,Thanasi Kokkinakis,Lleyton Hewitt,0.040747028862478774,0.04966044142614601,0.07597623089983019,-0.053904923599320864,-0.06069609507640067,-0.01666666666666672,player2,0,0,1,1,0,0,1,0
8,Yuichi Sugita,Marius Copil,-0.21044146825396826,-0.007688492063492064,0.1283482142857143,0.04786706349206349,-0.036334325396825407,0.0,player2,0,0,1,1,0,0,1,0
9,Grigor Dimitrov,Robin Haase,0.10382059800664452,0.005398671096345516,-0.1615448504983389,0.059800664451827246,0.20598006644518274,0.375,player1,0,0,1,1,0,0,1,0
10,Marin Cilic,Denis Istomin,0.04612612612612611,0.04306306306306305,-0.02846846846846851,0.009459459459459474,-0.04675675675675672,0.33333333333333337,player1,0,0,1,1,0,0,1,0
11,Alex Kuznetsov,Matthew Ebden,-0.010538641686182668,-0.09689695550351288,0.11211943793911017,-0.09601873536299771,0.026639344262295084,0.26666666666666666,player2,0,0,1,1,0,0,1,0
12,Jarkko Nieminen,Roger Federer,-0.14484126984126985,0.06349206349206349,-0.051587301587301515,-0.14880952380952384,-0.02777777777777779,-0.75,player2,0,0,1,1,0,0,1,0
13,Marinko Matosevic,Sam Querrey,-0.15240452616690242,0.006983734087694482,-0.012729844413012725,-0.03483026874115985,0.00442008486562942,0.25,player1,0,0,1,1,0,0,1,0
14,Sam Groth,Pierre Hugues Herbert,0.08656476267095736,0.007401448109412713,-0.06950925181013679,-0.03000804505229282,0.03893805309734513,0.025000000000000022,player1,0,0,1,1,0,0,1,0
15,Jeremy Chardy,Nicolas Mahut,0.0,-0.023529411764705882,0.009803921568627416,0.07647058823529412,0.08039215686274512,-0.16666666666666669,player1,0,0,1,1,0,0,1,0
