,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
33,Aleksandre Metreveli,Go Soeda,-0.019571295433364402,0.06694625660142901,-0.11789375582479023,-0.14165890027958994,0.01770736253494873,0.0444444444444444,player2,0,1,1,0,0,1,0
34,Yoshihito Nishioka,Pablo Cuevas,0.02702702702702703,0.05405405405405406,-0.10060060060060061,0.2364864864864865,0.21471471471471473,0.8333333333333334,player1,0,1,1,0,0,1,0
35,Martin Cuevas,Go Soeda,0.07692307692307693,0.006378986866791746,-0.24727954971857413,-0.3380863039399624,0.04090056285178237,-0.5,player2,0,1,1,0,0,1,0
36,Pablo Cuevas,Nikoloz Basilashvili,0.07628458498023716,-0.030731225296442687,0.023814229249011887,-0.017094861660079064,-0.019268774703557312,0.5333333333333334,player2,0,1,1,0,0,1,0
37,Franco Roncadelli,Aleksandre Metreveli,-0.05263157894736842,0.020195838433292534,0.03671970624234999,-0.18053855569155453,-0.19339045287637696,-0.8333333333333334,player2,0,1,1,0,0,1,0
38,Daniel Evans,David Goffin,-0.030888030888030882,0.0,0.19835907335907332,0.11534749034749037,-0.0834942084942085,0.25,player1,0,1,1,0,0,1,0
39,Cameron Norrie,Steve Darcis,-0.06947996589940324,-0.0021312872975277064,0.010230179028133057,-0.21440750213128734,0.02429667519181586,0.5,player2,0,1,1,0,0,1,0
40,David Goffin,Grigor Dimitrov,0.07431566686080372,-0.03401281304601049,-0.027489807804309874,0.05905649388468259,0.055794991263832264,-0.15000000000000002,player1,0,1,1,0,0,1,0
41,Dimitar Kuzmanov,Steve Darcis,0.0,-0.024390243902439025,0.1493280238924839,0.12792434046789447,0.11050273768043804,0.2222222222222222,player1,0,1,1,0,0,1,0
42,David Goffin,Radu Albot,0.06349206349206349,0.023809523809523808,-0.06349206349206349,0.042328042328042326,0.11904761904761907,0.36363636363636365,player1,0,1,1,0,0,1,0
43,Alexander Cozbinov,Steve Darcis,-0.05355508086664632,-0.00045773573390296,0.0366188587122368,-0.018462007934086033,-0.030668294171498328,-0.14285714285714285,player2,0,1,1,0,0,1,0
44,Grigor Dimitrov,Daniel Evans,0.024988844265952697,0.04938271604938271,-0.02127026625018591,-0.027517477316674144,0.0779413952104715,0.05357142857142855,player1,0,1,1,0,0,1,0
45,Cameron Norrie,Dimitar Kuzmanov,0.08455284552845528,0.058943089430894303,0.020325203252032464,0.15975609756097564,-0.02967479674796747,0.0,player1,0,1,1,0,0,1,0
46,Daniel Evans,Radu Albot,-0.02930402930402931,-0.038461538461538464,-0.0064102564102564985,0.13003663003663002,0.16575091575091577,0.16666666666666663,player1,0,1,1,0,0,1,0
47,Alexander Cozbinov,Cameron Norrie,-0.07894736842105263,0.008771929824561403,0.10526315789473684,-0.12280701754385964,-0.21052631578947367,-0.5,player2,0,1,1,0,0,1,0
48,Radu Albot,Grigor Dimitrov,-0.08771929824561403,-0.10035087719298244,-0.13403508771929828,-0.20631578947368417,0.04210526315789476,-0.46666666666666673,player2,0,1,1,0,0,1,0
49,Alexander Cozbinov,Dimitar Kuzmanov,-0.05570652173913043,-0.013360507246376812,0.05095108695652173,-0.07540760869565216,-0.0935235507246377,-0.29166666666666663,player2,0,1,1,0,0,1,0
50,Fabio Fognini,Daniil Medvedev,-0.06089508437270726,-0.047688921496698455,0.05465884079236982,-0.052090975788701366,-0.08840792369772563,0.7777777777777778,player2,0,1,1,0,0,1,0
51,Karen Khachanov,Stefano Travaglia,0.006100795755968169,-0.0363395225464191,0.19045092838196287,0.1745358090185677,-0.06657824933687001,0.1333333333333333,player1,0,1,1,0,0,1,0
52,Daniil Medvedev,John Isner,0.03952569169960474,-0.022727272727272728,-0.02667984189723316,0.16007905138339923,0.07806324110671933,0.5714285714285714,player1,0,1,1,0,0,1,0
53,Taylor Fritz,Karen Khachanov,-0.03640449438202248,0.054082397003745314,-0.12449438202247187,-0.14142322097378274,0.030262172284644187,-0.23809523809523808,player2,0,1,1,0,0,1,0
54,Daniil Medvedev,Casper Ruud,0.16923076923076924,0.03076923076923077,-0.18461538461538463,0.01538461538461533,0.1076923076923077,0.16666666666666663,player1,0,1,1,0,0,1,0
55,Viktor Durasovic,Karen Khachanov,-0.11904761904761904,0.05357142857142857,-0.1696428571428572,-0.3005952380952381,0.06845238095238093,-0.5,player2,0,1,1,0,0,1,0
56,Fabio Fognini,John Isner,-0.10491071428571427,0.06383928571428571,-0.01383928571428572,0.18482142857142858,-0.08928571428571427,0.25,player1,0,1,1,0,0,1,0
57,Taylor Fritz,Stefano Travaglia,-0.16536254564423578,0.024691358024691357,0.04173187271778822,-0.13823682837767343,0.030255607720396455,0.08333333333333337,player2,0,1,1,0,0,1,0
58,Fabio Fognini,Casper Ruud,-0.022201665124884366,0.04209065679925994,-0.2927844588344126,-0.332099907493062,0.08233117483811286,-0.4444444444444444,player2,0,1,1,0,0,1,0
59,Stefano Travaglia,Viktor Durasovic,0.07070707070707072,0.005050505050505048,-0.005050505050505083,0.21212121212121213,0.15656565656565655,0.625,player1,0,1,1,0,0,1,0
60,Casper Ruud,John Isner,-0.23019744483159119,-0.016260162601626018,0.030197444831591147,0.03112659698025555,0.06573751451800232,0.16666666666666663,player1,0,1,1,0,0,1,0
61,Taylor Fritz,Viktor Durasovic,0.22941970310391363,0.033738191632928474,0.028340080971659964,0.2483130904183536,0.10661268556005399,0.36363636363636365,player1,0,1,1,0,0,1,0
62,Dominic Thiem,Borna Coric,0.09457537586347012,0.0682649329540837,0.018386834620073178,0.05770012190166601,-0.04561154002438034,0.0,player2,0,1,1,0,0,1,0
63,Dennis Novak,Marin Cilic,-0.05277835158025203,-0.012497417888865936,0.014046684569303913,-0.06403635612476755,-0.011671142325965694,-0.4,player2,0,1,1,0,0,1,0
64,Dominic Thiem,Diego Schwartzman,0.07352941176470588,-0.04,-0.019607843137254832,0.09862745098039216,-0.01156862745098039,-0.05555555555555558,player1,0,1,1,0,0,1,0
65,Guido Pella,Dennis Novak,-0.026792750197005513,0.026398739164696608,-0.21171526136065144,-0.0764381402679275,0.1137378513265038,-0.19999999999999996,player2,0,1,1,0,0,1,0
66,Hubert Hurkacz,Dominic Thiem,0.028775723753051964,-0.03679804673875131,0.0427275898151378,-0.00662713637949075,-0.03243808859434949,-0.033333333333333326,player1,0,1,1,0,0,1,0
67,Kacper Zuk,Dennis Novak,-0.009402654867256638,-0.0003160556257901376,-0.03207964601769908,0.03168457648546141,-0.010587863463969643,0.0,player1,0,1,1,0,0,1,0
68,Borna Coric,Diego Schwartzman,-0.021258503401360544,0.02040816326530612,-0.03358843537414968,-0.13265306122448978,-0.10714285714285715,-0.6666666666666667,player2,0,1,1,0,0,1,0
69,Guido Pella,Marin Cilic,-0.1349206349206349,0.00992063492063492,-0.01984126984126977,-0.04365079365079361,0.0753968253968254,0.11904761904761907,player1,0,1,1,0,0,1,0
70,Borna Coric,Hubert Hurkacz,-0.18863636363636366,0.03636363636363636,0.06590909090909092,-0.16136363636363638,-0.14772727272727276,-0.5,player2,0,1,1,0,0,1,0
71,Kacper Zuk,Marin Cilic,0.028538812785388126,-0.02026255707762557,-0.0884703196347032,-0.16966324200913246,0.047802511415525134,-0.07692307692307687,player2,0,1,1,0,0,1,0
72,Diego Schwartzman,Hubert Hurkacz,-0.17836257309941522,0.0017543859649122792,-0.16140350877192988,-0.15906432748538013,0.11754385964912281,-0.43333333333333335,player2,0,1,1,0,0,1,0
73,Guido Pella,Kamil Majchrzak,0.08796296296296297,0.004629629629629629,-0.04938271604938271,0.015432098765432112,0.08024691358024694,-0.09523809523809523,player1,0,1,1,0,0,1,0
74,Stefanos Tsitsipas,Alexander Zverev,0.008080808080808084,-0.1595959595959596,0.18989898989898996,0.24242424242424243,0.0222222222222222,-0.42857142857142855,player1,0,1,1,0,0,1,0
75,Jan Lennard Struff,Michail Pervolarakis,0.08423005565862708,-0.04526901669758812,0.1829313543599258,0.2664192949907236,-0.10389610389610388,0.16666666666666663,player1,0,1,1,0,0,1,0
76,Denis Shapovalov,Alexander Zverev,0.19230769230769232,-0.03846153846153845,0.09615384615384615,0.2115384615384615,0.019230769230769246,0.8,player1,0,1,1,0,0,1,0
77,Jan Lennard Struff,Felix Auger Aliassime,-0.007075471698113206,0.003930817610062892,-0.13757861635220126,0.024371069182389904,0.18238993710691823,0.4285714285714286,player1,0,1,1,0,0,1,0
78,Alex De Minaur,Alexander Zverev,-0.07453764244348964,-0.1320754716981132,0.11143284139734733,0.024285447412665806,0.025406314216327303,0.033333333333333326,player1,0,1,1,0,0,1,0
79,Nick Kyrgios,Jan Lennard Struff,0.05430242272347535,-0.036758563074352546,0.06349206349206349,0.003341687552213868,-0.000835421888053467,1.0,player1,0,1,1,0,0,1,0
80,Denis Shapovalov,Stefanos Tsitsipas,0.09043478260869564,0.0034782608695652154,0.03637681159420281,-0.011594202898550732,-0.04188405797101449,0.0,player1,0,1,1,0,0,1,0
81,Felix Auger Aliassime,Michail Pervolarakis,0.11904761904761904,0.07349896480331262,0.2277432712215321,0.26293995859213254,-0.022774327122153215,0.4,player1,0,1,1,0,0,1,0
82,Stefanos Tsitsipas,Nick Kyrgios,-0.07489747463846322,-0.010288509964745663,-0.04345636376717754,0.016835743578674678,-0.055039930930282754,0.0,player2,0,1,1,0,0,1,0
