,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Kei Nishikori,Daniil Medvedev,-0.04103896103896104,-0.021038961038961038,0.03142857142857136,0.0625974025974026,0.02077922077922076,-0.16666666666666663,player1,0,0,1,1,0,0,1,0
1,Daniil Medvedev,Jo-Wilfried Tsonga,-0.02847152847152845,-0.006743256743256744,-0.040709290709290746,0.07092907092907091,0.1783216783216783,-0.7692307692307693,player1,0,0,1,1,0,0,1,0
2,Kei Nishikori,Jeremy Chardy,-0.17483811285846437,-0.022664199814986123,0.11517113783533761,0.227104532839963,0.06105457909343201,0.8,player1,0,0,1,1,0,0,1,0
3,Jo-Wilfried Tsonga,Alex De Minaur,0.16412490922294845,0.004720406681190996,-0.10838779956427014,0.030864197530864224,0.10947712418300654,0.13333333333333341,player1,0,0,1,1,0,0,1,0
4,Milos Raonic,Daniil Medvedev,0.19422492401215807,0.024620060790273558,-0.05187436676798385,0.03221884498480243,-0.03596757852077001,-0.5,player2,0,0,1,1,0,0,1,0
5,Jeremy Chardy,Yasutaka Uchiyama,-0.026950354609929075,0.018439716312056736,0.017021276595744705,0.023640661938534313,-0.008510638297872353,-0.16666666666666663,player1,0,0,1,1,0,0,1,0
6,Kei Nishikori,Grigor Dimitrov,-0.015254237288135603,-0.028601694915254237,0.13411016949152543,0.16461864406779658,-0.009957627118644063,-0.6666666666666666,player1,0,0,1,1,0,0,1,0
7,Jo-Wilfried Tsonga,Taro Daniel,0.1365808823529412,-0.03547794117647059,-0.021874999999999978,0.06874999999999998,0.042463235294117635,0.025974025974025983,player1,0,0,1,1,0,0,1,0
8,Alex De Minaur,Jordan Thompson,-0.06887755102040817,0.02040816326530612,0.07908163265306123,0.056122448979591844,0.10969387755102039,0.5,player1,0,0,1,1,0,0,1,0
9,Daniil Medvedev,Andy Murray,0.19629629629629627,0.02037037037037037,-0.020370370370370372,0.04999999999999999,0.12407407407407406,-0.3333333333333333,player1,0,0,1,1,0,0,1,0
10,Miomir Kecmanovic,Milos Raonic,-0.29645615629259425,-0.04838709677419355,-0.12221717401181287,-0.25079509313948206,0.09223080417991822,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
11,Nick Kyrgios,Jeremy Chardy,-0.03988095238095238,0.015476190476190477,0.04702380952380958,0.004761904761904745,-0.07738095238095238,-0.6,player2,0,0,1,1,0,0,1,0
12,Kyle Edmund,Yasutaka Uchiyama,-0.10666666666666667,0.013333333333333334,0.026666666666666616,-0.07999999999999996,0.0,-0.5,player2,0,0,1,1,0,0,1,0
13,John Millman,Grigor Dimitrov,-0.07705627705627704,-0.013564213564213563,0.11717171717171715,-0.10129870129870128,-0.024531024531024515,-0.07142857142857145,player2,0,0,1,1,0,0,1,0
14,Denis Kudla,Kei Nishikori,-0.04166666666666667,0.01428571428571429,0.02857142857142858,-0.0488095238095238,-0.13452380952380952,-0.4285714285714286,player2,0,0,1,1,0,0,1,0
15,Thanasi Kokkinakis,Jo-Wilfried Tsonga,-0.0955565142364107,-0.013157894736842105,0.21462467644521133,0.12316652286453833,-0.0992234685073339,-0.3333333333333333,player2,0,0,1,1,0,0,1,0
16,Alex Bolt,Jordan Thompson,-0.008184523809523808,-0.0007440476190476164,-0.17485119047619047,-0.28199404761904767,0.020833333333333343,0.6153846153846154,player2,0,0,1,1,0,0,1,0
17,Alex De Minaur,Alexei Popyrin,-0.07878500237304224,-0.05552918841955387,0.018509729473184633,0.2140484100616991,0.05790223065970575,0.3055555555555556,player1,0,0,1,1,0,0,1,0
18,Andy Murray,James Duckworth,-0.05194805194805194,0.024891774891774895,-0.016233766233766156,0.013528138528138556,0.0817099567099567,0.55,player1,0,0,1,1,0,0,1,0
