,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Andy Roddick,Peter Luczak,0.16666666666666666,-0.03571428571428571,0.059523809523809534,0.05357142857142849,0.025793650793650785,0.4,player1,0,0,1,1,0,0,1,0
1,Carsten Ball,Mischa Zverev,0.14513556618819776,0.022328548644338114,0.011164274322169043,0.07017543859649122,0.12121212121212119,0.30000000000000004,player1,0,0,1,1,0,0,1,0
2,Jarkko Nieminen,Richard Gasquet,-0.004487568223165553,-0.041237113402061855,0.15657974530018193,0.10685263796240146,-0.11364463311097636,0.011363636363636354,player2,0,0,1,1,0,0,1,0
3,Jurgen Melzer,Matthew Ebden,-0.20226415094339623,-0.0011320754716981143,-0.15283018867924525,-0.2981132075471698,0.0430188679245283,-0.6,player2,0,0,1,1,0,0,1,0
4,Nick Lindahl,Tomas Berdych,0.021739130434782608,-0.007246376811594202,0.007246376811594124,-0.14492753623188404,-0.10144927536231885,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
5,Marcos Baghdatis,Mardy Fish,0.021994134897360698,0.04168412232928362,0.04859656472559698,0.07184750733137829,0.014453288646837037,-0.5,player1,0,0,1,1,0,0,1,0
6,Harel Levy,Michael Llodra,0.22857142857142856,0.0,-0.1254658385093168,0.1447204968944099,0.22049689440993786,0.5,player1,0,0,1,1,0,0,1,0
7,Juan Ignacio Chela,Thomaz Bellucci,-0.1238465274405051,-0.03189250445199935,-0.13145539906103287,-0.14359721547676862,0.07851707948842479,-0.35,player2,0,0,1,1,0,0,1,0
8,James Blake,Sam Querrey,0.01039671682626539,-0.0004103967168262654,-0.06525307797537627,-0.01723666210670316,0.0908344733242134,0.06666666666666665,player1,0,0,1,1,0,0,1,0
9,Philipp Petzschner,Marc Gicquel,-0.018306636155606404,0.017162471395881007,-0.2540045766590389,-0.3318077803203662,0.006864988558352408,-0.8,player2,0,0,1,1,0,0,1,0
10,Florent Serra,Julian Reister,0.035161100581661324,0.002352787399516371,-0.10809750996666889,-0.05261094046140774,0.12881511012352131,-0.15555555555555556,player1,0,0,1,1,0,0,1,0
