,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Ryan Harrison,Robin Soderling,-0.07384615384615385,-0.03769230769230769,-0.07538461538461538,-0.18,-0.010000000000000009,-0.75,player2,0,0,1,1,0,0,1,0
1,Michael Berrer,Dudi Sela,-0.0644307149161518,-0.008531921153280372,-0.027360988526037078,-0.0643326468569187,0.08865352554672942,0.20000000000000007,player1,0,0,1,1,0,0,1,0
2,John Millman,Matthew Ebden,-0.08854489164086687,0.027708978328173373,0.02198142414860682,0.011455108359133215,-0.026934984520123842,0.16666666666666669,player2,0,0,1,1,0,0,1,0
3,Thiemo De Bakker,Denis Istomin,0.04365079365079366,-0.001984126984126984,-0.08531746031746035,-0.09325396825396826,-0.01785714285714285,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
4,Adrian Mannarino,Mardy Fish,-0.20098039215686275,0.08823529411764706,-0.004901960784313819,-0.0980392156862745,-0.15196078431372548,-0.5,player2,0,0,1,1,0,0,1,0
5,Tobias Kamke,Radek Stepanek,-0.04152298850574712,0.04295977011494253,-0.012787356321839138,-0.08318965517241383,0.01839080459770115,0.09999999999999998,player2,0,0,1,1,0,0,1,0
6,Arnaud Clement,Ricardas Berankis,-0.05170454545454545,0.010511363636363638,0.032670454545454586,-0.030113636363636342,-0.06448863636363636,0.05555555555555558,player2,0,0,1,1,0,0,1,0
7,Florian Mayer,Bernard Tomic,0.2566502463054187,0.0,0.1280788177339902,0.27783251231527095,0.15369458128078817,0.8,player1,0,0,1,1,0,0,1,0
8,Feliciano Lopez,Philipp Petzschner,0.01050420168067226,0.017379679144385027,0.06531703590527116,0.06092436974789911,-0.05080213903743319,0.8,player1,0,0,1,1,0,0,1,0
9,Peter Luczak,Kevin Anderson,-0.34012539184952983,0.034482758620689655,-0.0431034482758621,-0.2217868338557994,-0.03213166144200627,-0.6666666666666667,player2,0,0,1,1,0,0,1,0
10,Gilles Simon,Santiago Giraldo,0.06731259561448241,0.03773584905660377,-0.2042325344212137,-0.08490566037735847,0.02932177460479346,-0.8,player2,0,0,1,1,0,0,1,0
11,Fernando Verdasco,Benjamin Becker,0.06759906759906759,0.02369852369852369,0.06721056721056717,0.011655011655011649,-0.05283605283605283,-0.657142857142857,player2,0,0,1,1,0,0,1,0
