,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Ryan Harrison,Leonardo Mayer,-0.01524390243902439,-0.013109756097560973,0.010060975609756051,0.06310975609756098,0.00640243902439025,0.6388888888888888,player1,0,0,1,1,0,0,1,0
1,Jordan Thompson,Jared Donaldson,-0.0378197997775306,0.028921023359288096,0.10956618464961065,-0.027808676307007785,-0.128476084538376,-0.1636363636363637,player2,0,0,1,1,0,0,1,0
2,Denis Istomin,Damir Dzumhur,0.0078014184397163094,-0.05,0.26046099290780145,0.20230496453900704,-0.11400709219858157,0.19318181818181823,player1,0,0,1,1,0,0,1,0
3,Steve Johnson,Alex De Minaur,-0.061363636363636356,-0.020454545454545454,-0.023106060606060574,-0.07234848484848488,-0.045075757575757575,0.0,player2,0,0,1,1,0,0,1,0
4,Federico Delbonis,Michael Mmoh,-0.0020202020202020193,-0.07272727272727272,0.08686868686868687,0.04040404040404044,-0.0888888888888889,-1.0,player2,0,0,1,1,0,0,1,0
5,John Patrick Smith,Mischa Zverev,-0.002635046113306984,-0.015151515151515152,-0.03359683794466406,-0.1389986824769433,0.025032938076416336,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
6,Diego Schwartzman,Alexandr Dolgopolov,-0.07267080745341614,-0.029399585921325053,-0.09399585921325054,-0.1494824016563147,0.0538302277432712,-0.4166666666666667,player2,0,0,1,1,0,0,1,0
7,Ernesto Escobedo,Horacio Zeballos,-0.03405572755417954,-0.05263157894736842,-0.021671826625387025,-0.053663570691434515,0.0030959752321981504,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
8,Frances Tiafoe,Matthew Ebden,-0.05887681159420291,0.0661231884057971,-0.12318840579710144,-0.08786231884057971,-0.09873188405797101,-0.4666666666666666,player2,0,0,1,1,0,0,1,0
9,Gilles Muller,Hyeon Chung,0.17003676470588236,0.011029411764705885,0.04136029411764708,0.03216911764705882,-0.11856617647058823,-0.4,player2,0,0,1,1,0,0,1,0
10,Kyle Edmund,Denis Shapovalov,-0.1357522123893805,-0.005752212389380534,-0.04477876106194689,-0.06212389380530975,0.07663716814159294,0.5,player1,0,0,1,1,0,0,1,0
11,John Millman,Peter Polansky,0.12683736367946893,-0.013513513513513514,0.06804172593646285,0.14935988620199142,0.06851588430535796,0.30000000000000004,player1,0,0,1,1,0,0,1,0
12,Ryan Harrison,Yannick Hanfmann,0.15443840579710144,0.00860507246376812,-0.028804347826086985,0.013134057971014523,0.0917572463768116,0.2525252525252525,player1,0,0,1,1,0,0,1,0
13,Denis Istomin,Jared Donaldson,0.03968253968253968,-0.10912698412698413,0.2281746031746032,0.19444444444444448,-0.08134920634920637,0.15873015873015872,player1,0,0,1,1,0,0,1,0
14,Milos Raonic,Alex De Minaur,0.06823027718550106,0.06349206349206349,-0.008765695332859536,-0.020137408197109685,-0.03245676380004739,-0.13333333333333341,player2,0,0,1,1,0,0,1,0
15,Mischa Zverev,Michael Mmoh,0.024422012373819607,0.009117551286225982,-0.001193965049386736,0.013350700097688017,0.006621078910235528,-0.25,player2,0,0,1,1,0,0,1,0
16,Alexandr Dolgopolov,Horacio Zeballos,0.1356542617046819,-0.0016006402561024383,0.0756302521008404,0.18407362945178068,0.05322128851540617,0.7142857142857143,player1,0,0,1,1,0,0,1,0
17,Nick Kyrgios,Matthew Ebden,0.02523809523809524,0.0009523809523809511,-0.12285714285714289,-0.02238095238095239,0.0576190476190476,0.2857142857142857,player1,0,0,1,1,0,0,1,0
18,Hyeon Chung,Kyle Edmund,-0.016729627630868854,-0.020237452779276847,0.04101457096600103,-0.0615218564490016,0.02662349343407089,0.4166666666666667,player2,0,0,1,1,0,0,1,0
19,John Millman,Grigor Dimitrov,-0.003592394637693855,-0.034346797511609566,0.0881450976956103,0.0041181109261368976,-0.01647244370454745,-0.0714285714285714,player2,0,0,1,1,0,0,1,0
20,Ryan Harrison,Denis Istomin,0.13855721393034826,0.018407960199004973,-0.11990049751243781,0.01716417910447765,0.05422885572139305,-0.2142857142857143,player1,0,0,1,1,0,0,1,0
21,Michael Mmoh,Alex De Minaur,-0.07161125319693094,0.0763000852514919,0.06862745098039214,-0.038363171355498715,-0.2127024722932651,-0.5714285714285714,player2,0,0,1,1,0,0,1,0
22,Alexandr Dolgopolov,Nick Kyrgios,-0.18086956521739128,-0.03246376811594203,-0.07652173913043481,-0.11072463768115942,0.0539130434782609,0.16666666666666669,player2,0,0,1,1,0,0,1,0
