,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
69,Rafael Nadal,Michael Berrer,-0.039637952559300874,-0.008583021223470662,-0.09737827715355807,-0.055867665418227186,0.08473782771535582,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
70,Novak Djokovic,Sergiy Stakhovsky,0.03553921568627451,0.01838235294117647,0.125,0.23529411764705882,0.031862745098039214,0.5714285714285714,player1,0,0,1,1,0,0,1,0
71,Ivo Karlovic,Nikoloz Basilashvili,0.2601933585540143,-0.0641025641025641,0.08953341740226983,0.16708701134930642,0.017234131988230345,-0.2777777777777778,player1,0,0,1,1,0,0,1,0
72,David Ferrer,Fernando Verdasco,0.029964747356051702,0.011163337250293767,0.02526439482961218,0.13513513513513514,0.07403055229142186,-0.11538461538461542,player1,0,0,1,1,0,0,1,0
73,Jan Lennard Struff,Dustin Brown,-0.076260162601626,-0.035447154471544715,-0.06504065040650409,-0.10308943089430889,0.07691056910569107,-0.19999999999999996,player2,0,0,1,1,0,0,1,0
74,Richard Gasquet,Simone Bolelli,0.09022556390977443,0.023809523809523808,0.08395989974937346,0.23934837092731837,0.03759398496240601,-0.5,player1,0,0,1,1,0,0,1,0
75,Tomas Berdych,Blaz Kavcic,0.06761229314420804,-0.06382978723404255,-0.0789598108747045,0.06430260047281322,0.22316784869976358,0.8,player1,0,0,1,1,0,0,1,0
76,Joao Souza,Andreas Seppi,-0.07790549169859515,0.0,-0.09897828863346114,-0.14176245210727972,-0.012771392081736888,-0.30000000000000004,player2,0,0,1,1,0,0,1,0
77,Michael Berrer,Ivan Dodig,-0.029473684210526305,0.04,0.13263157894736843,-0.011228070175438587,-0.18736842105263157,-0.2857142857142857,player2,0,0,1,1,0,0,1,0
78,Ivo Karlovic,Novak Djokovic,0.11390692640692641,0.012445887445887448,0.01415945165945165,0.0816197691197692,-0.038329725829725825,0.25,player1,0,0,1,1,0,0,1,0
79,Dustin Brown,David Ferrer,0.020979020979020976,0.0811188811188811,-0.09230769230769231,-0.09510489510489512,-0.05034965034965036,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
80,Tomas Berdych,Richard Gasquet,0.07297297297297298,0.012972972972972972,-0.10972972972972972,0.14162162162162162,0.09891891891891891,0.5714285714285714,player1,0,0,1,1,0,0,1,0
81,Ivan Dodig,Andreas Seppi,0.009925558312655083,0.006617038875103391,0.09346567411083545,-0.11993382961124893,0.0173697270471464,-0.3392857142857143,player2,0,0,1,1,0,0,1,0
82,David Ferrer,Ivo Karlovic,-0.21542664985287935,-0.008547008547008548,0.10277427490542246,0.05030124702255856,-0.06508336836205689,0.0,player1,0,0,1,1,0,0,1,0
83,Tomas Berdych,Andreas Seppi,0.019088669950738914,0.018472906403940885,0.05788177339901479,0.12315270935960587,0.05726600985221676,0.33333333333333337,player1,0,0,1,1,0,0,1,0
84,David Ferrer,Tomas Berdych,-0.08582189938122142,-0.003228410008071031,0.05649717514124286,0.018563357546408366,0.03900995426419154,0.25,player1,0,0,1,1,0,0,1,0
85,Sergiy Stakhovsky,Juan Martin del Potro,0.005935556811758058,0.05172413793103448,-0.13764838892029396,-0.21000565291124929,0.11277557942340302,-0.5,player2,0,0,1,1,0,0,1,0
86,Denis Istomin,Mikhail Kukushkin,-0.012987012987012991,-0.030303030303030304,0.18181818181818177,0.1746031746031746,-0.25396825396825395,-0.09999999999999998,player2,0,0,1,1,0,0,1,0
87,Nicolas Almagro,Pablo Cuevas,-0.00962165688193084,-0.029191128506196998,0.091324200913242,0.02054794520547948,-0.07811480756686234,-0.19999999999999996,player2,0,0,1,1,0,0,1,0
88,Vasek Pospisil,Andreas Seppi,0.06676938880328712,-0.0017976373908577294,0.06009244992295837,0.08962506420133537,-0.03852080123266563,0.06666666666666665,player1,0,0,1,1,0,0,1,0
89,Jerzy Janowicz,Nick Kyrgios,-0.0478233664074372,0.04299633503173326,0.014749262536873142,0.06132117636542411,-0.045231071779744336,0.5,player1,0,0,1,1,0,0,1,0
90,Benjamin Becker,Leonardo Mayer,-0.02625102543068089,0.0,-0.03281378178835104,-0.02105550998085859,-0.17145200984413453,-0.2222222222222222,player2,0,0,1,1,0,0,1,0
91,Sam Querrey,Jeremy Chardy,0.06048615036743922,-0.0016958733747880136,-0.11927642736009036,-0.07801017524024867,-0.007631430186546079,-0.33333333333333337,player2,0,0,1,1,0,0,1,0
92,Gilles Muller,Sam Groth,-0.11804690155205619,0.02820890449756428,-0.035232808428684814,-0.014047807862240913,0.04610853064461311,0.375,player1,0,0,1,1,0,0,1,0
93,Igor Sijsling,Bernard Tomic,-0.14169570267131243,0.04878048780487805,-0.22415795586527298,-0.3490127758420441,0.051103368176538905,-0.6666666666666667,player2,0,0,1,1,0,0,1,0
94,Martin Klizan,Viktor Troicki,-0.12525879917184263,0.019668737060041408,-0.038302277432712195,-0.25362318840579706,-0.06004140786749482,-0.75,player2,0,0,1,1,0,0,1,0
