,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Andy Murray,Mikhail Kukushkin,0.05674760022586109,-0.03896103896103896,0.0870976849237719,0.06902879728966682,-0.010022586109542653,0.12698412698412698,player1,0,0,1,1,0,0,1,0
1,Gilles Muller,Ricardo Mello,0.19202763256161315,-0.03892830470500373,-0.12163928304705007,-0.07234876773711724,0.10390216579536968,0.5,player1,0,0,1,1,0,0,1,0
2,Marcos Baghdatis,Ryan Harrison,-0.06453913353538955,0.0295952932786593,-0.17097521839900165,-0.089499019433054,0.15100730968087003,0.33333333333333337,player1,0,0,1,1,0,0,1,0
3,Cedrik Marcel Stebe,Kei Nishikori,0.03111111111111111,-0.004444444444444445,-0.10888888888888892,-0.11333333333333334,0.04222222222222219,0.1428571428571429,player2,0,0,1,1,0,0,1,0
4,Florian Mayer,Denis Istomin,-0.14220779220779223,0.0003246753246753248,0.19090909090909092,0.09837662337662334,-0.12142857142857144,0.0,player2,0,0,1,1,0,0,1,0
5,Marinko Matosevic,Tommy Haas,-0.008658008658008656,-0.004329004329004328,-0.02164502164502169,-0.12121212121212122,-0.017316017316017313,-0.08791208791208782,player2,0,0,1,1,0,0,1,0
6,Benjamin Mitchell,Tatsuma Ito,0.04638009049773756,0.08823529411764706,0.07013574660633493,-0.020361990950226283,-0.1855203619909502,-0.2727272727272727,player2,0,0,1,1,0,0,1,0
7,Julien Benneteau,Bernard Tomic,0.03961552281710384,0.07743442328422566,0.01068990298239314,0.0053898670499460954,-0.09297520661157024,0.19047619047619047,player2,0,0,1,1,0,0,1,0
8,Radek Stepanek,Matthew Ebden,0.037407037407037415,0.013653013653013656,-0.08602508602508607,-0.016761016761016767,0.049839049839049854,-0.08333333333333337,player1,0,0,1,1,0,0,1,0
9,Jarkko Nieminen,Jesse Levine,0.00892018779342723,-0.06666666666666667,0.04647887323943667,0.050704225352112664,0.029733959311424113,0.023809523809523725,player1,0,0,1,1,0,0,1,0
10,Adrian Mannarino,Igor Andreev,-0.05,0.007142857142857145,-0.0023809523809523725,-0.0714285714285714,-0.01190476190476189,-0.16666666666666663,player2,0,0,1,1,0,0,1,0
11,Alexandr Dolgopolov,Alejandro Falla,0.06666666666666667,-0.05172413793103448,-0.07563218390804599,0.07080459770114944,0.006436781609195419,0.12698412698412698,player1,0,0,1,1,0,0,1,0
12,Philipp Petzschner,Jurgen Melzer,0.03855494839101398,-0.020643594414086214,-0.023072252580449315,0.11930783242258652,0.046448087431693985,1.0,player1,0,0,1,1,0,0,1,0
13,Santiago Giraldo,John Millman,0.005636070853462155,-0.021739130434782608,0.05797101449275355,0.1642512077294686,-0.02898550724637683,0.75,player1,0,0,1,1,0,0,1,0
14,James Duckworth,Nicolas Mahut,0.0,-0.07692307692307693,-0.019230769230769273,0.07692307692307693,0.05769230769230771,-0.09523809523809523,player1,0,0,1,1,0,0,1,0
15,Ryan Sweeting,Gilles Simon,-0.014285714285714284,0.050793650793650794,-0.16587301587301584,-0.12460317460317455,0.007936507936507936,0.125,player2,0,0,1,1,0,0,1,0
16,Gilles Muller,Andy Murray,-0.0010604453870625696,-0.050106044538706256,0.011134676564157009,-0.1126723223753977,0.038441145281018024,-0.16666666666666669,player2,0,0,1,1,0,0,1,0
17,Kei Nishikori,Marcos Baghdatis,-0.15873015873015872,-0.031746031746031744,0.07619047619047614,-0.09269841269841267,-0.026349206349206344,-0.17142857142857143,player2,0,0,1,1,0,0,1,0
18,Denis Istomin,Tommy Haas,,,,,,,player1,0,0,1,1,0,0,1,0
19,Bernard Tomic,Tatsuma Ito,0.19658119658119658,-0.029059829059829057,0.07692307692307687,0.2512820512820513,0.027350427350427364,-0.16666666666666666,player1,0,0,1,1,0,0,1,0
20,Radek Stepanek,Jarkko Nieminen,0.0021645021645021606,-0.015151515151515152,0.02813852813852813,0.07936507936507936,0.025974025974025955,0.6,player1,0,0,1,1,0,0,1,0
21,Igor Andreev,Alexandr Dolgopolov,0.08695652173913043,0.018115942028985508,-0.03260869565217395,0.0021739130434782483,-0.008695652173913049,-0.19444444444444442,player2,0,0,1,1,0,0,1,0
22,Santiago Giraldo,Philipp Petzschner,-0.11941448382126348,0.01874678993323061,0.01746276322547502,0.018233179250128406,0.05726759116589625,0.6666666666666667,player1,0,0,1,1,0,0,1,0
23,Gilles Simon,James Duckworth,0.047263681592039794,0.04568068747173225,-0.09746720940750786,0.020805065581184945,0.0943012211668928,-0.625,player1,0,0,1,1,0,0,1,0
24,Andy Murray,Marcos Baghdatis,0.007692307692307693,-0.036538461538461534,0.12115384615384617,0.2,0.01730769230769233,1.0,player1,0,0,1,1,0,0,1,0
25,Bernard Tomic,Denis Istomin,-0.029239766081871343,-0.03508771929824561,0.0635964912280702,0.04385964912280704,-0.05482456140350875,1.0,player1,0,0,1,1,0,0,1,0
26,Radek Stepanek,Alexandr Dolgopolov,-0.16007905138339923,0.02075098814229249,-0.06916996047430835,-0.005434782608695676,-0.04298418972332016,0.11538461538461542,player2,0,0,1,1,0,0,1,0
27,Gilles Simon,Santiago Giraldo,0.03846153846153846,0.01282051282051282,-0.0641025641025641,0.02564102564102566,0.06410256410256412,0.125,player1,0,0,1,1,0,0,1,0
28,Andy Murray,Bernard Tomic,0.2131410256410256,0.0016025641025641003,0.15064102564102566,0.22115384615384615,-0.02564102564102566,0.2727272727272727,player1,0,0,1,1,0,0,1,0
29,Alexandr Dolgopolov,Gilles Simon,-0.029807692307692313,-0.015384615384615385,-0.022115384615384648,0.10993589743589743,0.06634615384615383,0.4285714285714286,player1,0,0,1,1,0,0,1,0
30,Alexandr Dolgopolov,Andy Murray,-0.16118633139909735,0.018052869116698907,-0.10799484203739529,-0.24403610573823337,-0.024822695035461,-0.25,player2,0,0,1,1,0,0,1,0
31,Yuki Bhambri,Karol Beck,0.005610098176718092,0.0273492286115007,0.09817671809256667,0.23632538569424966,-0.014025245441795231,-0.2820512820512821,player1,0,0,1,1,0,0,1,0
32,Andreas Beck,Vasek Pospisil,-0.15789473684210525,0.022475106685633003,0.03513513513513511,0.03541963015647226,0.0613086770981508,0.30000000000000004,player1,0,0,1,1,0,0,1,0
33,David Goffin,Xavier Malisse,0.04216959511077158,0.022307104660045835,0.04155844155844157,0.06799083269671502,-0.034988540870893814,0.0,player1,0,0,1,1,0,0,1,0
34,Edouard Roger Vasselin,Eric Prodon,0.06814251124178486,-0.010031131096506406,0.05292286406087865,0.09304738844690419,0.02455897613282601,0.23809523809523808,player1,0,0,1,1,0,0,1,0
35,Frederico Gil,Go Soeda,-0.010633379565418405,0.00933888118354138,0.04530744336569581,-0.03744798890429962,-0.0130374479889043,0.045454545454545414,player2,0,0,1,1,0,0,1,0
36,Vishnu Vardhan,Ivan Dodig,0.04869905595210684,0.03833755468570113,0.04248215519226339,0.01139765139304627,-0.04685701128252362,-0.75,player2,0,0,1,1,0,0,1,0
37,Fabio Fognini,Dudi Sela,-0.04336468129571578,0.06896551724137931,0.03657262277951934,-0.1311389759665622,-0.24712643678160917,-0.4285714285714286,player2,0,0,1,1,0,0,1,0
38,Benoit Paire,Pere Riba,0.18181818181818182,-0.0506993006993007,0.1835664335664336,0.2954545454545454,0.019230769230769218,0.5,player1,0,0,1,1,0,0,1,0
39,Sam Querrey,Victor Hanescu,0.08582995951417005,0.12307692307692308,-0.05344129554655874,-0.06261808367071525,-0.08529014844804317,-0.41666666666666663,player2,0,0,1,1,0,0,1,0
40,Yuichi Sugita,Olivier Rochus,0.038461538461538464,0.01282051282051282,0.061253561253561295,0.12250712250712248,-0.0997150997150997,0.2857142857142857,player1,0,0,1,1,0,0,1,0
41,Yen Hsun Lu,Thiemo De Bakker,-0.07174185463659148,0.05263157894736842,0.06015037593984962,0.15162907268170428,-0.02067669172932332,-0.3333333333333333,player1,0,0,1,1,0,0,1,0
42,Blaz Kavcic,Steve Darcis,0.06644945554317071,0.03789762496784703,-0.008402640829975216,-0.039526708394066745,0.013461373574551988,-0.020979020979020935,player2,0,0,1,1,0,0,1,0
43,Janko Tipsarevic,Yuki Bhambri,0.04502814258911819,-0.026891807379612255,-0.07629768605378362,0.10694183864915568,0.15947467166979362,1.0,player1,0,0,1,1,0,0,1,0
44,Andreas Beck,David Goffin,-0.03235440517670483,-0.04878048780487805,0.20009955201592833,0.07292185166749626,-0.16202090592334495,0.0,player2,0,0,1,1,0,0,1,0
45,Stan Wawrinka,Edouard Roger Vasselin,0.08348968105065666,0.012195121951219513,-0.038930581613508486,0.013367729831144481,0.07786116322701689,-0.2121212121212121,player1,0,0,1,1,0,0,1,0
46,Ivan Dodig,Go Soeda,0.11911852293031566,-0.01211038316458209,0.00516180266031363,0.010919197935278957,-0.08715505261068096,-0.0357142857142857,player2,0,0,1,1,0,0,1,0
47,Benoit Paire,Dudi Sela,0.061671087533156504,0.025088417329796643,-0.13196286472148544,-0.12113174182139702,0.0065207780725022035,-0.2857142857142857,player2,0,0,1,1,0,0,1,0
48,Victor Hanescu,Milos Raonic,-0.0837912087912088,0.0013736263736263757,0.10576923076923073,-0.0013736263736263687,-0.15384615384615385,-0.5,player2,0,0,1,1,0,0,1,0
