,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,John Millman,Tatsuma Ito,0.06371342630571508,-0.007383100902379008,0.14711512168444074,0.11977030352748158,0.008476893628657362,0.32142857142857145,player1,0,0,1,1,0,0,1,0
1,Igor Kunitsyn,Lleyton Hewitt,-0.04523495827843654,0.021519543258673692,0.04259991216512954,-0.04655248133508999,-0.11242863416776464,0.09999999999999998,player2,0,0,1,1,0,0,1,0
2,Martin Klizan,Denis Istomin,-0.060575968222442905,0.014895729890764646,-0.0787818603111552,-0.1949685534591195,0.006951340615690166,-0.3076923076923077,player2,0,0,1,1,0,0,1,0
3,Julien Benneteau,Jarkko Nieminen,0.043161094224924014,0.07507598784194529,0.015501519756838888,-0.011246200607902712,-0.059574468085106386,-0.5606060606060607,player2,0,0,1,1,0,0,1,0
4,Tommy Robredo,Ryan Harrison,0.034926470588235295,-0.014705882352941176,0.20772058823529416,0.28952205882352944,-0.16911764705882354,1.0,player1,0,0,1,1,0,0,1,0
5,Marinko Matosevic,Kei Nishikori,0.015079365079365081,0.014285714285714285,-0.09642857142857142,-0.04563492063492064,-0.050396825396825384,-0.3714285714285715,player2,0,0,1,1,0,0,1,0
6,Santiago Giraldo,Florian Mayer,-0.06444444444444444,-0.02,0.08074074074074067,0.015555555555555545,-0.1503703703703704,-1.0,player2,0,0,1,1,0,0,1,0
7,Benjamin Mitchell,Marcos Baghdatis,0.0043859649122807015,0.0008771929824561396,0.030701754385964897,-0.00877192982456143,-0.05789473684210528,-1.0,player2,0,0,1,1,0,0,1,0
8,Jesse Levine,Alejandro Falla,-0.11887311039853413,0.010077874484654147,-0.17155290884104446,-0.28607420980302334,0.08062299587723318,-0.19999999999999996,player2,0,0,1,1,0,0,1,0
9,Denis Kudla,Jurgen Melzer,-0.03113553113553113,0.020146520146520148,-0.1776556776556777,-0.10622710622710618,0.06593406593406592,0.0714285714285714,player2,0,0,1,1,0,0,1,0
10,Matthew Ebden,David Goffin,-0.021511627906976742,0.05348837209302326,-0.20116279069767445,-0.28662790697674423,0.01918604651162792,-1.0,player2,0,0,1,1,0,0,1,0
11,Grigor Dimitrov,Brian Baker,0.07053571428571428,-0.01294642857142857,-0.07499999999999996,0.11562499999999998,0.005803571428571436,-0.6,player1,0,0,1,1,0,0,1,0
12,John Millman,Andy Murray,-0.0470383275261324,0.030363364858138377,-0.14111498257839727,-0.09756097560975607,0.050273768043802874,-0.25454545454545463,player2,0,0,1,1,0,0,1,0
13,Denis Istomin,Lleyton Hewitt,0.1149706457925636,0.015492498369210697,0.12720156555773,0.21819960861056747,-0.10290280495759949,0.050000000000000044,player1,0,0,1,1,0,0,1,0
14,Alexandr Dolgopolov,Jarkko Nieminen,0.16666666666666666,-0.023255813953488372,-0.040051679586563305,0.19315245478036175,0.11498708010335917,0.4444444444444444,player1,0,0,1,1,0,0,1,0
15,Tommy Robredo,Kei Nishikori,0.04779874213836478,0.014465408805031447,-0.15817610062893078,-0.13836477987421386,-0.011949685534591192,-0.2727272727272727,player2,0,0,1,1,0,0,1,0
16,Florian Mayer,Marcos Baghdatis,-0.2573426573426573,-0.03636363636363636,-0.020979020979020935,-0.15804195804195798,0.005594405594405605,-0.20000000000000007,player2,0,0,1,1,0,0,1,0
17,Gilles Simon,Alejandro Falla,-0.022767593140153752,-0.015079834417504434,-0.08264340626848016,-0.04065641632170314,0.05144884683619161,0.41666666666666663,player1,0,0,1,1,0,0,1,0
18,Jurgen Melzer,David Goffin,0.0075982209043736065,-0.030022238695329877,0.024091919940696815,0.02205337286879172,-0.0007412898443291405,0.25,player1,0,0,1,1,0,0,1,0
