Rate,Neurons,Performance
0.0001,32,0.7562
0.0010,32,0.8698
0.0100,32,0.9382
0.1000,32,0.9349
0.0001,64,0.7858
0.0010,64,0.9000
0.0100,64,0.9377
0.1000,64,0.9361
0.0001,128,0.7994
0.0010,128,0.9198
0.0100,128,0.9373
0.1000,128,0.5069
0.0001,256,0.8020
0.0010,256,0.9306
0.0100,256,0.9373
0.1000,256,0.4931
0.0001,320,0.7939
0.0010,320,0.9311
0.0100,320,0.9375
0.1000,320,0.4931
